Biden,Sanders,Warren,Date,Biden_Negative,Biden_Positive,Sanders_Negative,Sanders_Positive,Warren_Negative,Warren_Positive
1,2,3,August 8 2019,0.12768,0.07823,0.06954,0.1047,0.10073,0.10188
1,3,2,August 15 2019,0.07592,0.11083,0.08491,0.07952,0.06788,0.13062
1,2,3,August 27 2019,0.11717,0.07557,0.06187,0.08282,0.08026,0.109
1,2,3,September 7 2019,0.09167,0.09277,0.08553,0.09365,0.08866,0.13287
2,1,3,September 11 2019,0.09255000000000001,0.11177,0.06604,0.09905,0.06112,0.11366
1,3,2,September 12 2019,0.06443,0.09887,0.0489,0.07166,0.0713,0.09764
1,3,2,September 17 2019,0.09098,0.08822,0.07017,0.10017,0.07876999999999999,0.10619
2,3,1,September 21 2019,0.12237,0.07416,0.08458,0.1363,0.09815,0.09444
2,3,1,September 24 2019,0.09347,0.07295,0.06849,0.1161,0.04136,0.09838
1,3,2,September 29 2019,0.09202,0.05762,0.06125,0.08357,0.08754,0.09469
2,3,1,October 3 2019,0.09292,0.06474,0.06274,0.09298,0.09917,0.08078
1,3,2,October 7 2019,0.11938,0.05896,0.08963,0.09034,0.13376,0.08803
2,3,1,October 16 2019,0.12026,0.08222,0.06252,0.14373,0.11696000000000001,0.0763